,zeq,apex,lat,lon,mlat,ne,Te,Tn,u,v
8503,225.85035354914635,390,-9.007,-42.178,0.15637162094908505,421572.608,1770.347412109375,,37.58861541748047,49.57854080200195
8504,214.43509250927036,390,-9.307,-42.065,0.16176374580939834,324998.43072,1622.18896484375,,25.837234497070312,52.78384780883789
8505,202.64668813466324,390,-9.606,-41.951,0.1671558706697116,240310.222848,1467.2147216796875,,11.188465118408203,57.126953125
8506,190.48651140396396,390,-9.904,-41.838,0.1725479955300249,169708.01152,1307.0316162109375,,-6.4827117919921875,62.544677734375
8507,177.95597653253117,390,-10.202,-41.724,0.17794012039033819,114116.665344,1141.7847900390625,,-21.707902908325195,65.61106872558594
8508,165.05654080797012,390,-10.499,-41.611,0.18333224525065145,76460.294144,971.463134765625,,-25.600372314453125,60.82551956176758
8509,151.78970442066475,390,-10.794,-41.497,0.18872437011096474,51839.864832,796.0408935546875,,-23.997180938720703,59.652984619140625
8510,138.1570102892847,390,-11.089,-41.384,0.194116494971278,35415.150592,615.4968872070312,,-25.5587158203125,73.720458984375
8511,124.16004388136753,390,-11.384,-41.27,0.1995086198315913,23393.497088,429.7986755371094,,-7.817421913146973,31.635486602783203
8512,109.80043302891954,390,-11.677,-41.157,0.20490074469190456,26839.668736,234.06265258789062,,5.548096179962158,-6.339824676513672
8513,95.0798477390972,390,-11.97,-41.043,0.21029286955221785,14802.072576,174.90463256835938,,2.213676691055298,18.700651168823242
8514,80.00000000000091,390,-12.263,-40.93,0.2156849944125311,350.51088,201.8239288330078,,9.279972076416016,-10.979316711425781
8515,391.0,391,0.104,-45.47,0.0,982172.041216,1245.5408935546875,,86.00896453857422,59.26956558227539
8516,390.80257495738806,391,-0.226,-45.357,0.005400547202731315,982541.664256,1241.456298828125,,86.41533660888672,58.46310806274414
8517,390.2103228616543,391,-0.554,-45.243,0.01080109440546263,985996.00128,1236.76025390625,,86.78565979003906,57.648433685302734
8518,389.22331280641174,391,-0.88,-45.13,0.016201641608193942,992449.855488,1231.6334228515625,,87.10987854003906,56.824832916259766
8519,387.8416599387265,391,-1.206,-45.016,0.02160218881092526,1001800.269824,1225.904296875,,87.39395904541016,55.99097442626953
8520,386.0655254456851,391,-1.531,-44.903,0.027002736013656575,1013910.601728,1219.6337890625,,87.62682342529297,55.148834228515625
8521,383.8951165355893,391,-1.854,-44.789,0.032403283216387885,1028595.580928,1212.781982421875,,87.81493377685547,54.306644439697266
8522,381.33068641378213,391,-2.176,-44.676,0.0378038304191192,1045649.620992,1205.3994140625,,87.94550323486328,53.460411071777344
8523,378.372534253107,391,-2.498,-44.562,0.04320437762185052,1064831.680512,1197.455810546875,,88.02210235595703,52.61228561401367
8524,375.0210051590102,391,-2.818,-44.449,0.048604924824581834,1085759.16032,1189.04052734375,,88.03242492675781,51.76813888549805
8525,371.27649012927395,391,-3.137,-44.335,0.05400547202731315,1108040.482816,1180.210205078125,,87.97811889648438,50.93077087402344
8526,367.139426008408,391,-3.455,-44.222,0.05940601923004446,1131136.548864,1171.3031005859375,,87.84333038330078,50.10010528564453
8527,362.6102954366788,391,-3.771,-44.108,0.06480656643277577,1154382.56128,1163.083984375,,87.62818908691406,49.28630828857422
8528,357.6896267938082,391,-4.087,-43.995,0.07020711363550709,1177019.35104,1157.76171875,,87.31227111816406,48.48381042480469
8529,352.3779941373359,391,-4.402,-43.881,0.0756076608382384,1198069.383168,1160.1656494140625,,86.89129638671875,47.70414733886719
8530,346.6760171356382,391,-4.716,-43.768,0.08100820804096973,1216348.291072,1177.1982421875,,86.34139251708984,46.9498405456543
8531,340.58436099563914,391,-5.028,-43.654,0.08640875524370104,1230228.815872,1211.1630859375,,85.65216064453125,46.234676361083984
8532,334.1037363852156,391,-5.34,-43.541,0.09180930244643234,1237064.613888,1257.6221923828125,,84.78981018066406,45.55719757080078
